,accession,trivname
1939,Q96RI9,TAAR9_HUMAN
1940,P59551,T2R60_HUMAN
1941,P59536,T2R41_HUMAN
1942,Q9BTD3,TM121_HUMAN
1943,P25325,THTM_HUMAN
1944,O60235,TM11D_HUMAN
1945,Q9NR97,TLR8_HUMAN
1946,Q96A09,TET5B_HUMAN
1947,Q8NDG6,TDRD9_HUMAN
1948,P13385,TDGF1_HUMAN
1949,O60522,TDRD6_HUMAN
1950,Q04206,TF65_HUMAN
1951,Q9Y4R8,TELO2_HUMAN
1952,Q9P272,TRM9B_HUMAN
1953,P0CI25,TRI49_HUMAN
1954,Q9C037,TRIM4_HUMAN
1955,Q9UKU6,TRHDE_HUMAN
1956,O43508,TNF12_HUMAN
1957,Q12767,TMM94_HUMAN
1958,Q9Y2L5,TPPC8_HUMAN
1959,O95150,TNF15_HUMAN
1960,Q5JTV8,TOIP1_HUMAN
1961,Q9H2S6,TNMD_HUMAN
1962,Q9UHF7,TRPS1_HUMAN
1963,Q6PGP7,TTC37_HUMAN
1964,Q9NX07,TSAP1_HUMAN
1965,A0A075B6L6,TVB73_HUMAN
1966,Q8TE23,TS1R2_HUMAN
1967,P33981,TTK_HUMAN
1968,Q96L21,RL10L_HUMAN
1969,Q9UNX3,RL26L_HUMAN
1970,Q8NHW5,RLA0L_HUMAN
1971,Q96GC5,RM48_HUMAN
1972,P36578,RL4_HUMAN
1973,P36954,RPB9_HUMAN
1974,O14802,RPC1_HUMAN
1975,Q9BY78,RNF26_HUMAN
1976,P50443,S26A2_HUMAN
1977,Q9BXS9,S26A6_HUMAN
1978,Q92622,RUBIC_HUMAN
1979,Q5M8T2,S35D3_HUMAN
1980,Q8N2Y8,RUSC2_HUMAN
1981,Q504Y0,S39AC_HUMAN
1982,Q76EJ3,S35D2_HUMAN
1983,Q9Y2W3,S45A1_HUMAN
1984,P0C7Q6,S35G6_HUMAN
1985,Q8WXG8,S100Z_HUMAN
1986,Q96LT4,SAMD8_HUMAN
1987,P09661,RU2A_HUMAN
1988,P55011,S12A2_HUMAN
1989,P48443,RXRG_HUMAN
1990,P04279,SEMG1_HUMAN
1991,P78330,SERB_HUMAN
1992,Q5HYK7,SH319_HUMAN
1993,Q9H9B4,SFXN1_HUMAN
1994,P58005,SESN3_HUMAN
1995,Q7Z4S9,SH2D6_HUMAN
1996,Q53H47,SETMR_HUMAN
1997,Q5T4F7,SFRP5_HUMAN
1998,Q6UW10,SFTA2_HUMAN
1999,O75880,SCO1_HUMAN
2000,P30531,SC6A1_HUMAN
2001,P31641,SC6A6_HUMAN
2002,Q8NEY3,SPAT4_HUMAN
2003,Q6ZMD2,SPNS3_HUMAN
2004,O94964,SOGA1_HUMAN
2005,Q9UKZ4,TEN1_HUMAN
2006,Q9Y5X1,SNX9_HUMAN
2007,P01241,SOMA_HUMAN
2008,Q02447,SP3_HUMAN
2009,Q6UXR4,SPA13_HUMAN
2010,P53814,SMTN_HUMAN
2011,Q9BVQ7,SPA5L_HUMAN
2012,Q6N022,TEN4_HUMAN
2013,Q8N4H0,SPA6L_HUMAN
2014,Q6IEE8,SN12L_HUMAN
2015,O95475,SIX6_HUMAN
2016,Q5SXM2,SNPC4_HUMAN
2017,Q9BQ15,SOSB1_HUMAN
2018,Q8NHU3,SMS2_HUMAN
2019,Q11201,SIA4A_HUMAN
2020,Q96DU3,SLAF6_HUMAN
2021,Q96N96,SPT13_HUMAN
2022,Q9UH99,SUN2_HUMAN
2023,P51649,SSDH_HUMAN
2024,Q86TL2,STIMA_HUMAN
2025,Q9BRL6,SRSF8_HUMAN
2026,Q9UQ35,SRRM2_HUMAN
2027,A2VEC9,SSPO_HUMAN
2028,Q9HAI6,TASL_HUMAN
2029,Q9H7F4,T185B_HUMAN
2030,A2RTX5,SYTC2_HUMAN
2031,A6NJY4,T238L_HUMAN
2032,Q15750,TAB1_HUMAN
2033,P52657,T2AG_HUMAN
2034,Q96J01,THOC3_HUMAN
2035,Q8IWB9,TEX2_HUMAN
2036,Q96LM6,TEX37_HUMAN
2037,P24752,THIL_HUMAN
2038,Q9NYK1,TLR7_HUMAN
2039,Q9NR96,TLR9_HUMAN
2040,Q8TBZ6,TM10A_HUMAN
2041,Q6N021,TET2_HUMAN
2042,Q5T7P8,SYT6_HUMAN
2043,O43493,TGON2_HUMAN
2044,P57738,TCTA_HUMAN
2045,Q12789,TF3C1_HUMAN
2046,Q6UXZ0,TMIG1_HUMAN
2047,Q8IWZ4,TRI48_HUMAN
2048,Q9HCN2,TPIP1_HUMAN
2049,Q9NRE2,TSH2_HUMAN
2050,A0A075B6W5,TVA23_HUMAN
2051,Q9BYC8,RM32_HUMAN
2052,P53803,RPAB4_HUMAN
2053,O76064,RNF8_HUMAN
2054,O60930,RNH1_HUMAN
2055,Q8N122,RPTOR_HUMAN
2056,O43159,RRP8_HUMAN
2057,P08708,RS17_HUMAN
2058,P62241,RS8_HUMAN
2059,Q96IZ7,RSRC1_HUMAN
2060,Q7L4I2,RSRC2_HUMAN
2061,Q6NW29,RWDD4_HUMAN
2062,P09234,RU1C_HUMAN
2063,Q13621,S12A1_HUMAN
2064,Q99985,SEM3C_HUMAN
2065,O95171,SCEL_HUMAN
2066,A0A286YEX9,SCGRX_HUMAN
2067,Q99470,SDF2_HUMAN
2068,Q9BVL4,SELO_HUMAN
2069,Q9HC62,SENP2_HUMAN
2070,Q8N4B1,SESQ1_HUMAN
2071,Q96FV2,SCRN2_HUMAN
2072,Q9UJC5,SH3L2_HUMAN
2073,P48067,SC6A9_HUMAN
2074,Q8N0Z3,SPICE_HUMAN
2075,Q9BZZ2,SN_HUMAN
2076,Q9H0A9,SPC1L_HUMAN
2077,Q9HCE7,SMUF1_HUMAN
2078,O43278,SPIT1_HUMAN
2079,Q8TER0,SNED1_HUMAN
2080,Q96EB6,SIR1_HUMAN
2081,O75971,SNPC5_HUMAN
2082,P49223,SPIT3_HUMAN
2083,Q9UPX8,SHAN2_HUMAN
2084,Q8N412,STPG2_HUMAN
2085,P51687,SUOX_HUMAN
2086,O00506,STK25_HUMAN
2087,Q13242,SRSF9_HUMAN
2088,Q7RTT6,SSX6_HUMAN
2089,P43308,SSRB_HUMAN
2090,Q8WWQ8,STAB2_HUMAN
2091,Q9GZT4,SRR_HUMAN
2092,Q01130,SRSF2_HUMAN
2093,Q16563,SYPL1_HUMAN
2094,Q96PV0,SYGP1_HUMAN
2095,Q9NYW4,TA2R5_HUMAN
2096,Q5T4T1,T170B_HUMAN
2097,Q8IUX1,T126B_HUMAN
2098,P04350,TBB4A_HUMAN
2099,Q8N5T2,TBC19_HUMAN
2100,P49368,TCPG_HUMAN
2101,Q7L7X3,TAOK1_HUMAN
2102,Q5VWG9,TAF3_HUMAN
2103,Q15813,TBCE_HUMAN
2104,O15482,TEX28_HUMAN
2105,Q8IYQ7,THNS1_HUMAN
2106,Q96M34,TEX55_HUMAN
2107,A0A1B0GTY4,TEX50_HUMAN
2108,Q8N1Q8,THEM5_HUMAN
2109,Q9Y4G6,TLN2_HUMAN
2110,P22105,TENX_HUMAN
2111,Q9C0I4,THS7B_HUMAN
2112,A2RU30,TESP1_HUMAN
2113,O14776,TCRG1_HUMAN
2114,Q9Y4F4,TGRM1_HUMAN
2115,Q8IYR6,TEFF1_HUMAN
2116,Q3Y452,TDRG1_HUMAN
2117,Q9BXT4,TDRD1_HUMAN
2118,O14668,TMG1_HUMAN
2119,Q9Y5J7,TIM9_HUMAN
2120,A0A0A0MS02,TRGV1_HUMAN
2121,Q9Y6Q6,TNR11_HUMAN
2122,Q9C030,TRIM6_HUMAN
2123,Q86YD3,TMM25_HUMAN
2124,Q86UV6,TRI74_HUMAN
2125,Q9NXH9,TRM1_HUMAN
2126,O75888,TNF13_HUMAN
2127,Q15025,TNIP1_HUMAN
2128,Q12933,TRAF2_HUMAN
2129,Q9BU70,TRMO_HUMAN
2130,Q9H2K2,TNKS2_HUMAN
2131,P67936,TPM4_HUMAN
2132,O00300,TR11B_HUMAN
2133,Q9UL62,TRPC5_HUMAN
2134,Q7RTX1,TS1R1_HUMAN
2135,O14604,TYB4Y_HUMAN
2136,O95551,TYDP2_HUMAN
2137,A0A5B6,TVB28_HUMAN
2138,P14679,TYRO_HUMAN
2139,Q8N6F8,MET27_HUMAN
2140,Q4G0A6,MINY4_HUMAN
2141,Q8IWI9,MGAP_HUMAN
2142,Q96JB8,MPP4_HUMAN
2143,Q8NGZ9,O2T10_HUMAN
2144,B2RBV5,MRUPP_HUMAN
2145,P21757,MSRE_HUMAN
2146,Q02083,NAAA_HUMAN
2147,P20591,MX1_HUMAN
2148,Q8N699,MYCT1_HUMAN
2149,P10244,MYBB_HUMAN
2150,Q8WX92,NELFB_HUMAN
2151,Q9H3R1,NDST4_HUMAN
2152,E9PKD4,NPIA5_HUMAN
2153,Q92542,NICA_HUMAN
2154,Q96PH1,NOX5_HUMAN
2155,P21359,NF1_HUMAN
2156,O95747,OXSR1_HUMAN
2157,Q3SYA9,P12L1_HUMAN
2158,Q5BKU9,OXLD1_HUMAN
2159,Q92882,OSTF1_HUMAN
2160,Q86Y26,NUTM1_HUMAN
2161,Q5BJF6,ODFP2_HUMAN
2162,Q8NGQ4,O10Q1_HUMAN
2163,Q9ULD0,OGDHL_HUMAN
2164,Q8NF37,PCAT1_HUMAN
2165,P11940,PABP1_HUMAN
2166,Q96RV3,PCX1_HUMAN
2167,P52945,PDX1_HUMAN
2168,Q8N4E4,PDCL2_HUMAN
2169,Q6P474,PDXD2_HUMAN
2170,Q9UP65,PA24C_HUMAN
2171,O00443,P3C2A_HUMAN
2172,Q8IYJ0,PIANP_HUMAN
2173,P55085,PAR2_HUMAN
2174,Q8WXA2,PATE1_HUMAN
2175,O00254,PAR3_HUMAN
2176,O43157,PLXB1_HUMAN
2177,P58294,PROK1_HUMAN
2178,Q9H606,PRORY_HUMAN
2179,Q9NQV7,PRDM9_HUMAN
2180,P20962,PTMS_HUMAN
2181,O00391,QSOX1_HUMAN
2182,Q5TGL8,PXDC1_HUMAN
2183,Q8NFP0,PXT1_HUMAN
2184,Q96PZ0,PUS7_HUMAN
2185,A6NDE4,RBY1B_HUMAN
2186,Q8IY67,RAVR1_HUMAN
2187,Q12829,RB40B_HUMAN
2188,Q9BTL3,RAMAC_HUMAN
2189,P20336,RAB3A_HUMAN
2190,O15315,RA51B_HUMAN
2191,Q7Z5L2,R3HCL_HUMAN
2192,Q8WUD1,RAB2B_HUMAN
2193,O14827,RGRF2_HUMAN
2194,Q96EH5,RL39L_HUMAN
2195,Q5T653,RM02_HUMAN
2196,Q9P015,RM15_HUMAN
2197,Q96PC5,MIA2_HUMAN
2198,P45452,MMP13_HUMAN
2199,P08254,MMP3_HUMAN
2200,Q29980,MICB_HUMAN
2201,Q96AX9,MIB2_HUMAN
2202,Q8NGN6,O10G7_HUMAN
2203,Q17RF5,ODAPH_HUMAN
2204,Q9P242,NYAP2_HUMAN
2205,P57723,PCBP4_HUMAN
2206,O75459,PAGE1_HUMAN
2207,Q9Y5E7,PCDB2_HUMAN
2208,Q9HCL0,PCD18_HUMAN
2209,I0J062,PANO1_HUMAN
2210,P0DN37,PAL4G_HUMAN
2211,A0A075B767,PAL4H_HUMAN
2212,Q9BZM2,PA2GF_HUMAN
2213,Q9UQ80,PA2G4_HUMAN
2214,Q15120,PDK3_HUMAN
2215,Q969Q6,P2R3C_HUMAN
2216,P56373,P2RX3_HUMAN
2217,Q13177,PAK2_HUMAN
2218,Q08499,PDE4D_HUMAN
2219,Q9UKK3,PARP4_HUMAN
2220,O00264,PGRC1_HUMAN
2221,P01210,PENK_HUMAN
2222,Q9H814,PHAX_HUMAN
2223,P35232,PHB_HUMAN
2224,P30405,PPIF_HUMAN
2225,P62714,PP2AB_HUMAN
2226,Q8NEY8,PPHLN_HUMAN
2227,P37231,PPARG_HUMAN
2228,O00562,PITM1_HUMAN
2229,Q8NG27,PJA1_HUMAN
2230,Q8NFJ6,PKR2_HUMAN
2231,P13727,PRG2_HUMAN
2232,Q99935,PROL1_HUMAN
2233,Q9HAZ2,PRD16_HUMAN
2234,Q5VTL8,PR38B_HUMAN
2235,Q9H4Q4,PRD12_HUMAN
2236,Q13162,PRDX4_HUMAN
2237,A0A1B0GVH4,PRS51_HUMAN
2238,Q70Z35,PREX2_HUMAN
2239,Q8N3Z0,PRS35_HUMAN
2240,Q96I23,PREY_HUMAN
2241,Q8N142,PURA1_HUMAN
2242,O15172,PSPHL_HUMAN
2243,Q9NRF8,PYRG2_HUMAN
2244,Q5R372,RBG1L_HUMAN
2245,P54727,RD23B_HUMAN
2246,P50876,R144A_HUMAN
2247,Q5TAB7,RIPP2_HUMAN
2248,Q09MP3,R51A2_HUMAN
2249,O14593,RFXK_HUMAN
2250,Q9UGC7,RF1ML_HUMAN
2251,Q9H902,REEP1_HUMAN
2252,Q9BQ08,RETNB_HUMAN
2253,Q86VR2,RETR3_HUMAN
2254,P27635,RL10_HUMAN
2255,P46782,RS5_HUMAN
2256,O00204,ST2B1_HUMAN
2257,Q13043,STK4_HUMAN
2258,Q8TBR4,ST3L4_HUMAN
2259,Q9BR01,ST4A1_HUMAN
2260,Q14765,STAT4_HUMAN
2261,Q9Y6Y8,S23IP_HUMAN
2262,Q8TBP6,S2540_HUMAN
2263,O43865,SAHH2_HUMAN
2264,O95197,RTN3_HUMAN
2265,P78382,S35A1_HUMAN
2266,Q8TF17,S3TC2_HUMAN
2267,Q495M3,S36A2_HUMAN
2268,O00442,RTCA_HUMAN
2269,Q6UXD7,S49A3_HUMAN
2270,Q9NY46,SCN3A_HUMAN
2271,Q8TD22,SFXN5_HUMAN
2272,P59797,SELV_HUMAN
2273,Q9UQD0,SCN8A_HUMAN
2274,Q99962,SH3G2_HUMAN
2275,Q99590,SCAFB_HUMAN
2276,P53794,SC5A3_HUMAN
2277,Q9GZW5,SCND2_HUMAN
2278,Q9BYC2,SCOT2_HUMAN
2279,Q96T21,SEBP2_HUMAN
2280,Q9H6I2,SOX17_HUMAN
2281,Q5VX52,SPAT1_HUMAN
2282,Q15797,SMAD1_HUMAN
2283,Q8IUH8,SPP2C_HUMAN
2284,O94993,SOX30_HUMAN
2285,P46721,SO1A2_HUMAN
2286,Q6IQ16,SPOPL_HUMAN
2287,P0CG40,SP9_HUMAN
2288,Q96P63,SPB12_HUMAN
2289,O75908,SOAT2_HUMAN
2290,P38935,SMBP2_HUMAN
2291,Q96KF7,SMIM8_HUMAN
2292,Q9UPU3,SORC3_HUMAN
2293,P56645,PER3_HUMAN
2294,Q7RTV0,PHF5A_HUMAN
2295,P78364,PHC1_HUMAN
2296,Q9Y263,PLAP_HUMAN
2297,Q86T03,PP4P1_HUMAN
2298,Q9UBT6,POLK_HUMAN
2299,O15120,PLCB_HUMAN
2300,Q9BXR3,POK6_HUMAN
2301,O75817,POP7_HUMAN
2302,P63133,POK8_HUMAN
2303,Q9UF11,PKHB1_HUMAN
2304,Q8NEB9,PK3C3_HUMAN
2305,Q7Z6Z6,PLPL5_HUMAN
2306,Q86YN6,PRGC2_HUMAN
2307,Q86SH4,PRNT_HUMAN
2308,P0DPQ3,PR20G_HUMAN
2309,Q5VTA0,PRA17_HUMAN
2310,O60809,PRA10_HUMAN
2311,Q7Z5A4,PRS42_HUMAN
2312,Q9BQR3,PRS27_HUMAN
2313,P28065,PSB9_HUMAN
2314,Q9NNZ6,PRM3_HUMAN
2315,Q8TAA3,PSMA8_HUMAN
2316,P55036,PSMD4_HUMAN
2317,Q7RTS3,PTF1A_HUMAN
2318,O95825,QORL1_HUMAN
2319,P0DJH9,RD3L_HUMAN
2320,Q9P258,RCC2_HUMAN
2321,P98179,RBM3_HUMAN
2322,Q8NDT2,RB15B_HUMAN
2323,P78332,RBM6_HUMAN
2324,P98175,RBM10_HUMAN
2325,Q9H6Z4,RANB3_HUMAN
2326,Q9NW64,RBM22_HUMAN
2327,Q15283,RASA2_HUMAN
2328,Q6WBX8,RAD9B_HUMAN
2329,O75783,RHBL1_HUMAN
2330,Q5EBL4,RIPL1_HUMAN
2331,Q9UL25,RAB21_HUMAN
2332,Q6PCD5,RFWD3_HUMAN
2333,P17081,RHOQ_HUMAN
2334,Q6PIS1,S23A3_HUMAN
2335,P82921,RT21_HUMAN
2336,O14975,S27A2_HUMAN
2337,Q92665,RT31_HUMAN
2338,Q14151,SAFB2_HUMAN
2339,P0CK97,S35E2_HUMAN
2340,P0C7Q5,S35G4_HUMAN
2341,Q495N2,S36A3_HUMAN
2342,Q6U841,S4A10_HUMAN
2343,Q9HBR0,S38AA_HUMAN
2344,Q8N6K7,SAMD3_HUMAN
2345,Q9H1V8,S6A17_HUMAN
2346,B5MCN3,S14L6_HUMAN
2347,P31949,S10AB_HUMAN
2348,P57060,RWD2B_HUMAN
2349,P28702,RXRB_HUMAN
2350,P23526,SAHH_HUMAN
2351,O95025,SEM3D_HUMAN
2352,Q6ZPB5,SDIM1_HUMAN
2353,O43147,SGSM2_HUMAN
2354,Q9Y6X0,SETBP_HUMAN
2355,A8MV23,SERP3_HUMAN
2356,Q9P0V3,SH3B4_HUMAN
2357,P0C7V7,SC11B_HUMAN
2358,Q8WVN6,SCTM1_HUMAN
2359,Q9UH03,SEPT3_HUMAN
2360,Q12770,SCAP_HUMAN
2361,P51172,SCNND_HUMAN
2362,P55735,SEC13_HUMAN
2363,Q96L94,SNX22_HUMAN
2364,Q9UBP0,SPAST_HUMAN
2365,P35237,SPB6_HUMAN
2366,Q5TF21,SOGA3_HUMAN
2367,Q8N9U9,SPOT1_HUMAN
2368,P35711,SOX5_HUMAN
2369,Q8N5J4,SPIC_HUMAN
2370,Q9NPD5,SO1B3_HUMAN
2371,Q9BZL3,SMIM3_HUMAN
2372,Q9NPB0,SMDC1_HUMAN
2373,Q8WVI0,SMIM4_HUMAN
2374,Q8ND04,SMG8_HUMAN
2375,Q16637,SMN_HUMAN
2376,Q92922,SMRC1_HUMAN
2377,Q147U7,SMCO1_HUMAN
2378,Q08AE8,SPIR1_HUMAN
2379,O75940,SPF30_HUMAN
2380,Q2MJR0,SPRE3_HUMAN
2381,Q6S5L8,SHC4_HUMAN
2382,Q9NR45,SIAS_HUMAN
2383,Q9H4F1,SIA7D_HUMAN
2384,Q9NP50,SHCAF_HUMAN
2385,Q9UJ37,SIA7B_HUMAN
2386,Q9H607,OCEL1_HUMAN
2387,A8MYP8,ODF3B_HUMAN
2388,Q8NGS8,O13C5_HUMAN
2389,Q9BY49,PECR_HUMAN
2390,O75594,PGRP1_HUMAN
2391,Q14442,PIGH_HUMAN
2392,Q9Y5J5,PHLA3_HUMAN
2393,Q9BRB3,PIGQ_HUMAN
2394,O15355,PPM1G_HUMAN
2395,P49763,PLGF_HUMAN
2396,Q8TCE9,PPL13_HUMAN
2397,Q9NPJ4,PNRC2_HUMAN
2398,Q08209,PP2BA_HUMAN
2399,Q496M5,PLK5_HUMAN
2400,Q96Q06,PLIN4_HUMAN
2401,O15031,PLXB2_HUMAN
2402,Q6ZWE6,PKHM3_HUMAN
2403,Q9UBK2,PRGC1_HUMAN
2404,Q9H4B4,PLK3_HUMAN
2405,Q2NL68,PRSR3_HUMAN
2406,P48634,PRC2A_HUMAN
2407,Q9Y520,PRC2C_HUMAN
2408,Q86YV5,PRAG1_HUMAN
2409,O96001,PPR17_HUMAN
2410,Q86TP1,PRUN1_HUMAN
2411,Q6ZMI0,PPR21_HUMAN
2412,P62333,PRS10_HUMAN
2413,Q7RTY3,PRS45_HUMAN
2414,Q2VWP7,PRTG_HUMAN
2415,A6NEC2,PSAL_HUMAN
2416,Q8WWY3,PRP31_HUMAN
2417,Q6NWY9,PR40B_HUMAN
2418,P23469,PTPRE_HUMAN
2419,Q14914,PTGR1_HUMAN
2420,Q15678,PTN14_HUMAN
2421,P61586,RHOA_HUMAN
2422,P08134,RHOC_HUMAN
2423,A8MT19,RHN2P_HUMAN
2424,A6NKH3,RL37L_HUMAN
2425,P18124,RL7_HUMAN
2426,Q9Y6S9,RPKL1_HUMAN
2427,P62081,RS7_HUMAN
2428,P82933,RT09_HUMAN
2429,Q9Y676,RT18B_HUMAN
2430,Q9Y3D3,RT16_HUMAN
2431,Q99808,S29A1_HUMAN
2432,Q8N357,S35F6_HUMAN
2433,Q96JW4,S41A2_HUMAN
2434,Q8WV83,S35F5_HUMAN
2435,Q9Y512,SAM50_HUMAN
2436,Q9Y3V2,RWDD3_HUMAN
2437,P80511,S10AC_HUMAN
2438,P26447,S10A4_HUMAN
2439,Q5TGI4,SAMD5_HUMAN
2440,Q8WU76,SCFD2_HUMAN
2441,Q96NL6,SCLT1_HUMAN
2442,Q86VW0,SESD1_HUMAN
2443,Q92599,SEPT8_HUMAN
2444,Q9UQQ2,SH2B3_HUMAN
2445,Q9Y617,SERC_HUMAN
2446,Q99961,SH3G1_HUMAN
2447,P23297,S10A1_HUMAN
2448,Q7RTU7,SCX_HUMAN
2449,O14492,SH2B2_HUMAN
2450,O75396,SC22B_HUMAN
2451,P57086,SCND1_HUMAN
2452,Q9BR46,SCAS1_HUMAN
2453,Q8WWX8,SC5AB_HUMAN
2454,Q9NR31,SAR1A_HUMAN
2455,Q86SK9,SCD5_HUMAN
2456,P08047,SP1_HUMAN
2457,P48595,SPB10_HUMAN
2458,Q9NS25,SPNXB_HUMAN
2459,O14512,SOCS7_HUMAN
2460,P62314,SMD1_HUMAN
2461,Q9Y6L6,SO1B1_HUMAN
2462,B2RUZ4,SMIM1_HUMAN
2463,P62318,SMD3_HUMAN
2464,Q9BQ49,SMIM7_HUMAN
2465,O75391,SPAG7_HUMAN
2466,P03973,SLPI_HUMAN
2467,Q5STR5,SIM40_HUMAN
2468,Q6STE5,SMRD3_HUMAN
2469,Q92925,SMRD2_HUMAN
2470,Q5TFQ8,SIRBL_HUMAN
2471,Q96I25,SPF45_HUMAN
2472,P03952,KLKB1_HUMAN
2473,Q6NUT3,MFS12_HUMAN
2474,Q8NFH5,NUP35_HUMAN
2475,Q8WWZ8,OIT3_HUMAN
2476,A6NF83,NUPR2_HUMAN
2477,P58170,OR1D5_HUMAN
2478,A6NKB5,PCX2_HUMAN
2479,Q8N6Y1,PCD20_HUMAN
2480,Q5MIZ7,P4R3B_HUMAN
2481,Q9H999,PANK3_HUMAN
2482,O60829,PAGE4_HUMAN
2483,Q6P4D5,PBIR3_HUMAN
2484,Q15116,PDCD1_HUMAN
2485,P12004,PCNA_HUMAN
2486,Q9Y5G5,PCDG8_HUMAN
2487,Q32P28,P3H1_HUMAN
2488,Q8IVL5,P3H2_HUMAN
2489,Q8WW12,PCNP_HUMAN
2490,Q9UN70,PCDGK_HUMAN
2491,Q9Y5E5,PCDB4_HUMAN
2492,Q9NTI5,PDS5B_HUMAN
2493,Q9Y5E4,PCDB5_HUMAN
2494,Q9BXP8,PAPP2_HUMAN
2495,Q8IZL8,PELP1_HUMAN
2496,Q9GZU2,PEG3_HUMAN
2497,Q96GW7,PGCB_HUMAN
2498,Q96FM1,PGAP3_HUMAN
2499,O43933,PEX1_HUMAN
2500,Q7Z7B1,PIGW_HUMAN
2501,Q6P4A8,PLBL1_HUMAN
2502,Q8N4L2,PP4P2_HUMAN
2503,Q15147,PLCB4_HUMAN
2504,P29590,PML_HUMAN
2505,P07738,PMGE_HUMAN
2506,P00747,PLMN_HUMAN
2507,Q9UIW2,PLXA1_HUMAN
2508,P28066,PSA5_HUMAN
2509,A0A0G2JMD5,PRA33_HUMAN
2510,Q9ULL5,PRR12_HUMAN
2511,Q8WUK0,PTPM1_HUMAN
2512,P60891,PRPS1_HUMAN
2513,Q9UNM6,PSD13_HUMAN
2514,Q8IV42,PSTK_HUMAN
2515,P11464,PSG1_HUMAN
2516,Q14206,RCAN2_HUMAN
2517,Q9UNT1,RBL2B_HUMAN
2518,P35241,RADI_HUMAN
2519,Q5T8P6,RBM26_HUMAN
2520,O60671,RAD1_HUMAN
2521,A6NK89,RASFA_HUMAN
2522,Q969X0,RIPL2_HUMAN
2523,A1A4S6,RHG10_HUMAN
2524,Q16799,RTN1_HUMAN
2525,Q8TB61,S35B2_HUMAN
2526,Q96KT7,S35G5_HUMAN
2527,Q8N808,S35G3_HUMAN
2528,Q9BQF6,SENP7_HUMAN
2529,Q9NY72,SCN3B_HUMAN
2530,Q8N474,SFRP1_HUMAN
2531,Q16585,SGCB_HUMAN
2532,O95486,SC24A_HUMAN
2533,Q9UBM1,PEMT_HUMAN
2534,Q9NVD7,PARVA_HUMAN
2535,Q86YP4,P66A_HUMAN
2536,Q9C0D0,PHAR1_HUMAN
2537,A6NEE1,PLHD1_HUMAN
2538,Q07869,PPARA_HUMAN
2539,Q96PV4,PNMA5_HUMAN
2540,Q8TF01,PNISR_HUMAN
2541,Q6XQN6,PNCB_HUMAN
2542,Q5SWL7,PRA14_HUMAN
2543,Q9UI14,PRAF1_HUMAN
2544,Q8IZ63,PRR22_HUMAN
2545,Q6ZRP0,PR23C_HUMAN
2546,Q8IV56,PRR15_HUMAN
2547,O95522,PRA12_HUMAN
2548,Q5VWM6,PRA13_HUMAN
2549,P28072,PSB6_HUMAN
2550,P25788,PSA3_HUMAN
2551,Q13523,PRP4B_HUMAN
2552,Q96P65,QRFPR_HUMAN
2553,Q9NR77,PXMP2_HUMAN
2554,A0A096LP55,QCR6L_HUMAN
2555,Q08257,QOR_HUMAN
2556,P62877,RBX1_HUMAN
2557,O75679,RFPL3_HUMAN
2558,O43566,RGS14_HUMAN
2559,P31350,RIR2_HUMAN
2560,Q9HB40,RISC_HUMAN
2561,Q86X10,RLGPB_HUMAN
2562,Q9UHV5,RPGFL_HUMAN
2563,Q9UNE2,RPH3L_HUMAN
2564,Q9BWH6,RPAP1_HUMAN
2565,P62875,RPAB5_HUMAN
2566,Q9Y225,RNF24_HUMAN
2567,Q68DV7,RNF43_HUMAN
2568,A6NCQ9,RN222_HUMAN
2569,Q6ZNA4,RN111_HUMAN
2570,Q9H0X6,RN208_HUMAN
2571,Q9Y3B9,RRP15_HUMAN
2572,Q96BI1,S22AI_HUMAN
2573,Q96E40,SACA9_HUMAN
2574,O60783,RT14_HUMAN
2575,Q9NVS2,RT18A_HUMAN
2576,Q96C34,RUND1_HUMAN
2577,Q6ICL7,S35E4_HUMAN
2578,Q7Z3Q1,S46A3_HUMAN
2579,Q92541,RTF1_HUMAN
2580,P48066,S6A11_HUMAN
2581,Q6IQ49,SDE2_HUMAN
2582,Q695T7,S6A19_HUMAN
2583,Q9BXY4,RSPO3_HUMAN
2584,Q8IZQ5,SELH_HUMAN
2585,Q9NSA0,S22AB_HUMAN
2586,A0A286YF46,SCGR5_HUMAN
2587,P21453,S1PR1_HUMAN
2588,P31040,SDHA_HUMAN
2589,O95754,SEM4F_HUMAN
2590,Q9P0U3,SENP1_HUMAN
2591,O95136,S1PR2_HUMAN
2592,Q9P0V9,SEP10_HUMAN
2593,Q5BJF2,SGMR2_HUMAN
2594,Q58EX2,SDK2_HUMAN
2595,O43765,SGTA_HUMAN
2596,Q02252,MMSA_HUMAN
2597,Q9H579,MROH8_HUMAN
2598,Q7RTY0,MOT13_HUMAN
2599,Q96J65,MRP9_HUMAN
2600,Q969V6,MRTFA_HUMAN
2601,Q9GZW8,MS4A7_HUMAN
2602,Q96E29,MTEF3_HUMAN
2603,Q96S19,MTL26_HUMAN
2604,P04733,MT1F_HUMAN
2605,P48039,MTR1A_HUMAN
2606,Q96EZ4,MYEOV_HUMAN
2607,Q8TDC0,MYOZ3_HUMAN
2608,Q9NP98,MYOZ1_HUMAN
2609,Q9UBB6,NCDN_HUMAN
2610,Q9H0A0,NAT10_HUMAN
2611,Q9NPC7,MYNN_HUMAN
2612,A6NI72,NCF1B_HUMAN
2613,O43795,MYO1B_HUMAN
2614,Q15788,NCOA1_HUMAN
