,accession,trivname
159,Q9Y3B4,SF3B6_HUMAN
160,Q9Y2P4,S27A6_HUMAN
161,Q8IWT1,SCN4B_HUMAN
162,Q8WV19,SFT2A_HUMAN
163,Q8WTS6,SETD7_HUMAN
164,Q96ES7,SGF29_HUMAN
165,O95562,SFT2B_HUMAN
166,Q15858,SCN9A_HUMAN
167,Q2NKQ1,SGSM1_HUMAN
168,P21673,SAT1_HUMAN
169,Q86VE3,SATL1_HUMAN
170,Q9HB31,SEBOX_HUMAN
171,Q9H3E2,SNX25_HUMAN
172,Q86XE0,SNX32_HUMAN
173,Q9HCB6,SPON1_HUMAN
174,O95219,SNX4_HUMAN
175,O15105,SMAD7_HUMAN
176,Q0VAQ4,SMAGP_HUMAN
177,P48594,SPB4_HUMAN
178,Q96PQ0,SORC2_HUMAN
179,Q9NTJ3,SMC4_HUMAN
180,Q9H7B4,SMYD3_HUMAN
181,Q9NPE6,SPAG4_HUMAN
182,P62316,SMD2_HUMAN
183,Q8NCR6,SMRP1_HUMAN
184,Q5JUX0,SPIN3_HUMAN
185,Q8NCJ5,SPRY3_HUMAN
186,Q9NUQ6,SPS2L_HUMAN
187,Q969G3,SMCE1_HUMAN
188,P0DTA3,SPD11_HUMAN
189,Q8N0X2,SPG16_HUMAN
190,Q9BPZ2,SPI2B_HUMAN
191,Q9GZT3,SLIRP_HUMAN
192,Q11203,SIAT6_HUMAN
193,Q7Z6I5,SPT12_HUMAN
194,Q5VZ18,SHE_HUMAN
195,Q4G0N8,SL9C1_HUMAN
196,A0A1B0GUA5,SIM32_HUMAN
197,Q8N114,SHSA5_HUMAN
198,Q15526,SURF1_HUMAN
199,Q86V20,SHLD2_HUMAN
200,Q9BX26,SYCP2_HUMAN
201,Q9BRV3,SWET1_HUMAN
202,Q6PIF2,SYCE2_HUMAN
203,Q8WW34,TM239_HUMAN
204,Q9BX66,SRBS1_HUMAN
205,P61764,STXB1_HUMAN
206,Q8TAQ9,SUN3_HUMAN
207,O60292,SI1L3_HUMAN
208,Q6EEV6,SUMO4_HUMAN
